pointID,x,y,minorCatch,majorCatch
1,575037.5,5252962.5,-9999,-9999
2,575137.5,5252962.5,-9999,-9999
3,575237.5,5252962.5,-9999,-9999
4,575337.5,5252962.5,-9999,-9999
5,575437.5,5252962.5,-9999,-9999
6,575537.5,5252962.5,-9999,-9999
7,575637.5,5252962.5,-9999,-9999
8,575737.5,5252962.5,-9999,-9999
9,575837.5,5252962.5,-9999,-9999
10,575937.5,5252962.5,-9999,-9999
11,576037.5,5252962.5,-9999,-9999
12,576137.5,5252962.5,-9999,-9999
13,576237.5,5252962.5,-9999,-9999
14,576337.5,5252962.5,-9999,-9999
15,576437.5,5252962.5,-9999,-9999
16,576537.5,5252962.5,-9999,-9999
17,576637.5,5252962.5,-9999,-9999
18,576737.5,5252962.5,-9999,-9999
19,576837.5,5252962.5,-9999,-9999
20,576937.5,5252962.5,-9999,-9999
21,577037.5,5252962.5,-9999,-9999
22,577137.5,5252962.5,-9999,-9999
23,577237.5,5252962.5,-9999,-9999
24,577337.5,5252962.5,-9999,-9999
25,577437.5,5252962.5,-9999,-9999
26,577537.5,5252962.5,-9999,-9999
27,577637.5,5252962.5,-9999,-9999
28,577737.5,5252962.5,-9999,-9999
29,577837.5,5252962.5,-9999,-9999
30,577937.5,5252962.5,-9999,-9999
31,578037.5,5252962.5,-9999,-9999
32,578137.5,5252962.5,-9999,-9999
33,578237.5,5252962.5,-9999,-9999
34,578337.5,5252962.5,-9999,-9999
35,578437.5,5252962.5,-9999,-9999
36,578537.5,5252962.5,-9999,-9999
37,578637.5,5252962.5,-9999,-9999
38,578737.5,5252962.5,-9999,-9999
39,578837.5,5252962.5,-9999,-9999
40,578937.5,5252962.5,-9999,-9999
41,579037.5,5252962.5,-9999,-9999
42,579137.5,5252962.5,-9999,-9999
43,579237.5,5252962.5,-9999,-9999
44,579337.5,5252962.5,-9999,-9999
45,579437.5,5252962.5,-9999,-9999
46,579537.5,5252962.5,-9999,-9999
47,579637.5,5252962.5,-9999,-9999
48,579737.5,5252962.5,-9999,-9999
49,579837.5,5252962.5,-9999,-9999
50,579937.5,5252962.5,-9999,-9999
51,580037.5,5252962.5,-9999,-9999
52,580137.5,5252962.5,-9999,-9999
53,580237.5,5252962.5,-9999,-9999
54,580337.5,5252962.5,-9999,-9999
55,580437.5,5252962.5,-9999,-9999
56,580537.5,5252962.5,-9999,-9999
57,580637.5,5252962.5,-9999,-9999
58,580737.5,5252962.5,-9999,-9999
59,580837.5,5252962.5,-9999,-9999
60,580937.5,5252962.5,-9999,-9999
61,581037.5,5252962.5,-9999,-9999
62,581137.5,5252962.5,-9999,-9999
63,581237.5,5252962.5,-9999,-9999
64,581337.5,5252962.5,-9999,-9999
65,581437.5,5252962.5,-9999,-9999
66,581537.5,5252962.5,-9999,-9999
67,581637.5,5252962.5,-9999,-9999
68,581737.5,5252962.5,-9999,-9999
69,581837.5,5252962.5,-9999,-9999
70,581937.5,5252962.5,-9999,-9999
71,582037.5,5252962.5,-9999,-9999
72,582137.5,5252962.5,-9999,-9999
73,582237.5,5252962.5,-9999,-9999
74,582337.5,5252962.5,-9999,-9999
75,582437.5,5252962.5,-9999,-9999
76,582537.5,5252962.5,-9999,-9999
77,582637.5,5252962.5,-9999,-9999
78,582737.5,5252962.5,-9999,-9999
79,582837.5,5252962.5,-9999,-9999
80,582937.5,5252962.5,-9999,-9999
81,583037.5,5252962.5,-9999,-9999
82,583137.5,5252962.5,-9999,-9999
83,583237.5,5252962.5,-9999,-9999
84,583337.5,5252962.5,-9999,-9999
85,583437.5,5252962.5,-9999,-9999
86,583537.5,5252962.5,-9999,-9999
87,583637.5,5252962.5,-9999,-9999
88,583737.5,5252962.5,-9999,-9999
89,583837.5,5252962.5,-9999,-9999
90,583937.5,5252962.5,-9999,-9999
91,584037.5,5252962.5,-9999,-9999
92,584137.5,5252962.5,-9999,-9999
93,584237.5,5252962.5,-9999,-9999
94,584337.5,5252962.5,-9999,-9999
95,584437.5,5252962.5,-9999,-9999
96,584537.5,5252962.5,-9999,-9999
97,584637.5,5252962.5,-9999,-9999
98,584737.5,5252962.5,-9999,-9999
99,584837.5,5252962.5,-9999,-9999
100,584937.5,5252962.5,-9999,-9999
101,585037.5,5252962.5,-9999,-9999
102,585137.5,5252962.5,-9999,-9999
103,585237.5,5252962.5,-9999,-9999
104,585337.5,5252962.5,-9999,-9999
105,585437.5,5252962.5,-9999,-9999
106,585537.5,5252962.5,-9999,-9999
107,585637.5,5252962.5,-9999,-9999
108,585737.5,5252962.5,-9999,-9999
109,585837.5,5252962.5,-9999,-9999
110,585937.5,5252962.5,-9999,-9999
111,586037.5,5252962.5,-9999,-9999
112,586137.5,5252962.5,-9999,-9999
113,586237.5,5252962.5,-9999,-9999
114,586337.5,5252962.5,-9999,-9999
115,586437.5,5252962.5,-9999,-9999
116,586537.5,5252962.5,-9999,-9999
117,586637.5,5252962.5,-9999,-9999
118,586737.5,5252962.5,-9999,-9999
119,586837.5,5252962.5,-9999,-9999
120,586937.5,5252962.5,-9999,-9999
121,587037.5,5252962.5,-9999,-9999
122,587137.5,5252962.5,-9999,-9999
123,587237.5,5252962.5,-9999,-9999
124,587337.5,5252962.5,-9999,-9999
125,587437.5,5252962.5,-9999,-9999
126,587537.5,5252962.5,-9999,-9999
127,587637.5,5252962.5,-9999,-9999
128,587737.5,5252962.5,-9999,-9999
129,587837.5,5252962.5,-9999,-9999
