ID,X,Y,Z,formation,azimuth,dip,polarity,fault,overturned,erosion,source,type,use,depth
S-135,581417,5249040,1458,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
S-136,581508,5248580,1568,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
S-137,581705,5248360,1579,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
S-138,582035,5248100,1759,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
S-139,582336,5247980,1747,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
S-140,582275,5248900,1455,Schrattenkalk,0,0,1,n,y,0,Huth 1998,interface,y,0
S-141,582700,5248800,1620,Schrattenkalk,0,0,1,n,y,0,Huth 1998,interface,y,0
S-142,583117,5248590,1635,Schrattenkalk,0,0,1,n,y,0,Huth 1998,interface,y,0
S-143,582571,5247940,1777,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
S-144,582787,5248020,1802,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
S-145,583051,5248080,1861,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
S-146,583297,5247950,1886,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
S-147,584209,5247650,1976,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
S-148,582990,5248970,1331,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
S-149,583208,5248680,1443,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
S-150,583918,5248360,1660,Schrattenkalk,0,0,1,n,y,0,Huth 1998,interface,y,0
S-151,584035,5248700,1565,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
S-152,584257,5248220,1724,Schrattenkalk,0,0,1,n,y,0,Huth 1998,interface,y,0
S-153,584571,5248770,1640,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
S-154,585130,5248690,1797,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
