0,1,2,3,4,5
0,testgp01020sks102210011756111110002swmm2,testgp01020sks102210011756111110002swmm0,testgp01020sks162110011852000000002swmm0,testgp01020sks162110011852000000002swmm1,testgp01020sks162110011856111110002swmm4,testgp01020sks162110011856111110002swmm0
1,baseswmm0,baseswmm3,,,,
